"continent","education_of_employee","has_job_experience","requires_job_training","no_of_employees","region_of_employment","prevailing_wage","unit_of_wage","full_time_position","company_age","y_train"
"Asia","Master's","Y","N",54,"South",47002.53,"Year","N",36,"0"
"Asia","Master's","N","Y",545,"South",66324.69,"Year","Y",169,"0"
"Europe","Bachelor's","Y","N",1810,"South",13322.72,"Year","Y",81,"0"
"Europe","Bachelor's","Y","N",3290,"Northeast",357.8194,"Hour","Y",19,"0"
"Asia","Master's","Y","N",472,"West",4787.43,"Year","Y",20,"0"
"Europe","High School","Y","Y",22,"Midwest",37751.51,"Year","Y",25,"0"
"Asia","Master's","Y","N",5147,"Northeast",6256.18,"Year","Y",27,"0"
"Asia","High School","Y","N",2510,"Midwest",125323.7,"Year","Y",104,"0"
"Europe","Bachelor's","Y","N",337,"West",4027.85,"Year","Y",20,"0"
"North America","Doctorate","Y","N",2880,"South",56117.39,"Year","N",99,"0"
"Asia","Bachelor's","Y","N",816,"South",113212.16,"Year","Y",77,"0"
"Asia","Master's","Y","N",2640,"West",47095.57,"Year","Y",15,"0"
"Europe","Bachelor's","N","N",201,"South",50362.77,"Year","Y",42,"0"
"South America","Bachelor's","Y","N",5461,"Northeast",9078.62,"Year","Y",45,"0"
"Asia","Doctorate","Y","N",5820,"South",31986.79,"Year","Y",26,"0"
"Asia","Bachelor's","Y","N",2708,"Northeast",109921.68,"Year","Y",14,"0"
"Europe","Bachelor's","Y","Y",44069,"West",134350.49,"Year","Y",18,"0"
"Europe","Master's","N","Y",4439,"South",113366.37,"Year","Y",62,"0"
"Asia","Master's","N","N",1929,"Midwest",100401.52,"Year","Y",23,"0"
"Asia","Bachelor's","Y","N",961,"West",123688.79,"Year","Y",17,"0"
"Asia","Doctorate","Y","N",3726,"Northeast",111179.86,"Year","N",140,"0"
"North America","Master's","Y","N",4045,"West",102909.59,"Year","N",37,"0"
"Asia","Master's","Y","N",128431,"West",128850.75,"Year","Y",33,"0"
"Europe","Master's","N","N",2689,"South",15814.94,"Year","Y",26,"0"
"Europe","Master's","Y","N",7320,"Northeast",89207.07,"Year","Y",156,"0"
"Asia","Doctorate","Y","N",3282,"West",74441.11,"Year","Y",45,"0"
"Asia","Bachelor's","Y","N",1313,"West",99469.71,"Year","Y",22,"0"
"Asia","Master's","N","N",4757,"Midwest",167376.13,"Year","Y",43,"0"
"Asia","High School","Y","N",2122,"Midwest",130404.72,"Year","Y",165,"0"
"Europe","Doctorate","Y","N",766,"Midwest",89079.05,"Year","Y",74,"0"
"Asia","High School","N","N",1190,"South",82464.74,"Year","Y",21,"0"
"Asia","Master's","Y","N",2696,"Island",116642.18,"Year","N",58,"0"
"North America","Master's","N","N",5396,"South",101399.51,"Year","N",61,"0"
"Europe","Bachelor's","N","Y",789,"Midwest",21282.82,"Year","Y",99,"0"
"Asia","Master's","Y","N",1515,"Midwest",269321.68,"Year","N",23,"0"
"Europe","Bachelor's","N","N",1867,"Northeast",2390.74,"Year","Y",91,"0"
"Asia","Bachelor's","Y","N",879,"Midwest",141796.39,"Month","Y",28,"0"
"North America","Doctorate","Y","Y",2518,"South",219529.62,"Year","Y",14,"0"
"South America","Bachelor's","N","N",1004,"Midwest",135792.52,"Year","Y",64,"0"
"Asia","Bachelor's","Y","N",717,"Northeast",100379.63,"Year","Y",26,"0"
"North America","Master's","N","N",20,"Midwest",138925.72,"Year","N",27,"0"
"Asia","High School","Y","N",503,"Midwest",118458.61,"Year","Y",26,"0"
"Asia","Master's","N","N",2770,"South",112028.45,"Year","N",27,"0"
"Asia","Master's","Y","N",1935,"Northeast",112881.33,"Year","Y",35,"0"
"Asia","Doctorate","Y","N",2098,"South",7794.05,"Year","Y",14,"0"
"Asia","Bachelor's","Y","N",3223,"South",7113.47,"Year","Y",27,"0"
"Europe","Bachelor's","N","N",2771,"West",100786.62,"Year","Y",49,"0"
"Europe","Doctorate","Y","N",1760,"South",63108.03,"Year","Y",27,"0"
"Europe","Master's","N","N",-25,"Northeast",39452.99,"Year","Y",44,"0"
"Europe","Doctorate","Y","Y",1025,"Northeast",80580.97,"Year","Y",19,"0"
"North America","Master's","Y","N",2901,"Northeast",95974.61,"Year","Y",53,"0"
"Europe","Master's","Y","N",5260,"West",91689.54,"Year","Y",30,"0"
"Asia","Bachelor's","N","N",3266,"Midwest",102598.35,"Year","Y",17,"0"
"Asia","Bachelor's","N","N",1310,"South",141372.27,"Year","Y",17,"0"
"Asia","Bachelor's","Y","N",230,"Midwest",143628.65,"Year","Y",99,"0"
"Asia","Master's","N","N",2374,"Midwest",35760.36,"Year","Y",18,"0"
"North America","Master's","Y","N",2733,"West",108458.31,"Year","Y",64,"0"
"Asia","Master's","Y","N",3664,"West",62950.34,"Year","Y",93,"0"
"Asia","Master's","Y","N",2486,"South",84521.88,"Year","Y",118,"0"
"North America","Master's","Y","N",1233,"South",141129.7,"Year","N",23,"0"
"Asia","High School","N","N",769,"South",57370.96,"Year","Y",73,"0"
"Asia","Master's","N","N",2443,"Midwest",99714.22,"Year","Y",66,"0"
"Asia","High School","N","N",3725,"Midwest",139424.83,"Year","Y",15,"0"
"Asia","Master's","Y","N",216,"Midwest",66329.37,"Year","Y",115,"0"
"Asia","Bachelor's","Y","N",1932,"South",165.2722,"Hour","Y",35,"0"
"Europe","Master's","Y","N",306,"South",103390.44,"Year","N",49,"0"
"Europe","Bachelor's","N","N",623,"Northeast",25419.59,"Year","Y",17,"0"
"Asia","Bachelor's","N","N",661,"Midwest",84899.65,"Year","Y",18,"0"
"Asia","Bachelor's","N","N",2337,"South",26813.7,"Year","Y",28,"0"
"Asia","Bachelor's","N","N",1672,"South",367.31,"Year","Y",26,"0"
"Asia","Master's","Y","N",717,"South",116370.47,"Year","Y",76,"0"
"Europe","Bachelor's","Y","N",1017,"South",32086.09,"Year","Y",49,"0"
"Asia","Master's","Y","Y",2009,"West",69741.05,"Year","Y",19,"0"
"Asia","Master's","Y","N",3268,"Midwest",101371.21,"Year","Y",12,"0"
"Asia","Master's","N","N",1312,"South",93644.47,"Year","Y",26,"0"
"Asia","Bachelor's","Y","N",2597,"West",155042.99,"Year","Y",79,"0"
"Asia","Bachelor's","Y","N",2114,"West",596.2488,"Hour","Y",47,"0"
"North America","Master's","Y","N",48369,"West",53304.04,"Year","Y",17,"0"
"Asia","Bachelor's","Y","N",2609,"Northeast",34738.65,"Year","Y",33,"0"
"Asia","Bachelor's","Y","N",533,"West",30066.16,"Year","Y",46,"0"
"Asia","Master's","Y","N",4574,"Northeast",67204.54,"Year","Y",18,"0"
"Europe","Bachelor's","Y","N",3831,"West",18035.36,"Year","Y",14,"0"
"Asia","Bachelor's","N","N",1778,"South",100850.52,"Year","Y",41,"0"
"North America","High School","Y","N",3550,"West",268.1379,"Hour","Y",12,"0"
"South America","Bachelor's","N","N",1761,"Midwest",667.4133,"Hour","Y",29,"0"
"South America","High School","Y","N",4153,"Island",135250.42,"Year","Y",14,"0"
"Asia","High School","N","Y",743,"South",132240.65,"Year","Y",25,"0"
"Asia","Bachelor's","Y","N",3827,"South",65376.07,"Year","Y",29,"0"
"Asia","Master's","Y","N",2345,"South",111254.68,"Year","Y",58,"0"
"Europe","Bachelor's","Y","N",6188,"South",94830.46,"Year","Y",31,"0"
"Asia","Bachelor's","Y","N",5576,"West",125246.83,"Year","Y",15,"0"
"Europe","Doctorate","Y","N",5075,"Northeast",36028.54,"Year","Y",43,"0"
"Asia","Bachelor's","Y","N",2698,"West",34168.31,"Year","Y",54,"0"
"Europe","Bachelor's","Y","N",1738,"Midwest",29260.86,"Year","Y",13,"0"
"Asia","Master's","Y","N",4614,"Northeast",84716.62,"Year","N",113,"0"
"Europe","Doctorate","N","N",186,"West",16551.46,"Year","Y",33,"0"
"Asia","Bachelor's","Y","N",2114,"Northeast",15.7716,"Hour","Y",12,"0"
"Asia","Master's","Y","N",822,"Northeast",66711.21,"Year","N",186,"0"
"North America","Bachelor's","Y","N",25805,"South",25512.46,"Year","Y",22,"0"
"Asia","Master's","N","N",1501,"Midwest",120371.72,"Year","Y",41,"0"
"Asia","Master's","Y","N",2284,"South",51610.24,"Year","Y",11,"0"
"Asia","Master's","Y","N",3213,"Midwest",23272.21,"Year","Y",100,"0"
"Asia","Bachelor's","Y","N",1610,"Midwest",98331.32,"Year","Y",62,"0"
"Asia","Bachelor's","Y","N",2927,"South",99753.8,"Year","Y",47,"0"
"South America","Bachelor's","Y","N",1837,"South",227.1764,"Hour","Y",126,"0"
"Asia","Bachelor's","Y","N",308,"West",86133.77,"Year","Y",29,"0"
"Asia","Doctorate","Y","N",70113,"Northeast",67492.78,"Week","Y",127,"0"
"Europe","Master's","Y","N",81379,"South",49256.63,"Year","Y",25,"0"
"Asia","Bachelor's","Y","N",1506,"Northeast",112853.73,"Year","Y",26,"0"
"Asia","Master's","Y","N",190,"Midwest",144312.48,"Year","Y",23,"0"
"North America","Bachelor's","Y","Y",2701,"South",93506.62,"Year","Y",14,"0"
"Asia","Bachelor's","Y","N",2090,"West",197452.18,"Year","N",152,"0"
"Asia","Master's","Y","N",855,"Northeast",53519.51,"Year","Y",15,"0"
"Asia","Master's","Y","N",566,"Midwest",142325.74,"Year","Y",26,"0"
"Asia","Bachelor's","Y","N",720,"West",124317.33,"Year","Y",23,"0"
"Europe","Bachelor's","N","N",2948,"West",323.7,"Year","Y",57,"0"
"Asia","Doctorate","Y","N",3962,"Northeast",73225.28,"Year","Y",13,"0"
"Africa","Master's","Y","N",4857,"Northeast",101949.05,"Year","Y",23,"0"
"North America","Doctorate","N","N",1200,"Midwest",107875.51,"Year","Y",28,"0"
"North America","Master's","Y","N",2579,"West",68683.19,"Year","Y",17,"0"
"Europe","Bachelor's","N","N",202,"West",35868.69,"Year","Y",38,"0"
"Asia","Bachelor's","Y","N",51,"West",21976.68,"Year","Y",21,"0"
"Asia","Bachelor's","Y","N",1872,"West",99201.01,"Year","Y",98,"0"
"North America","Bachelor's","Y","N",869,"West",64084.23,"Year","Y",23,"0"
"North America","High School","Y","N",693,"West",123519.71,"Year","Y",25,"0"
"Europe","Doctorate","Y","N",1525,"West",11287.42,"Year","Y",46,"0"
"Asia","Master's","N","N",1983,"South",33049.76,"Year","Y",22,"0"
"Asia","Bachelor's","Y","N",997,"Midwest",197676.15,"Year","Y",23,"0"
"North America","Bachelor's","Y","N",153,"Midwest",206.4596,"Hour","Y",52,"0"
"Asia","Doctorate","Y","N",3659,"South",81806.42,"Year","Y",148,"0"
"Asia","Bachelor's","Y","Y",4713,"West",100969.89,"Year","Y",56,"0"
"Asia","Master's","Y","N",979,"Northeast",59533.78,"Year","Y",172,"0"
"Asia","Bachelor's","Y","Y",2105,"West",26459.67,"Year","Y",24,"0"
"North America","High School","N","Y",23483,"South",65681,"Year","Y",24,"0"
"Europe","Doctorate","N","N",4651,"South",12367.86,"Year","Y",86,"0"
"Asia","Master's","N","N",2549,"South",108989.75,"Year","N",31,"0"
"Asia","Bachelor's","Y","N",1363,"South",56188.13,"Year","Y",42,"0"
"Asia","Bachelor's","Y","N",3094,"South",42657.8,"Year","Y",38,"0"
"Asia","Doctorate","Y","N",2109,"Northeast",27280.53,"Year","N",22,"0"
"North America","Master's","N","N",1847,"South",299.6081,"Hour","Y",22,"0"
"Asia","Master's","N","N",2675,"Midwest",102915.07,"Year","Y",27,"0"
"Asia","Doctorate","Y","N",1121,"West",230750.48,"Year","N",16,"0"
"Asia","Master's","Y","N",3696,"Northeast",100.98,"Hour","Y",23,"0"
"Asia","Bachelor's","N","N",3055,"Midwest",113440.66,"Year","Y",177,"0"
"Asia","Bachelor's","Y","N",3466,"West",31023.47,"Year","Y",156,"0"
"Asia","Master's","Y","N",1451,"South",129450.64,"Year","N",15,"0"
"Asia","Bachelor's","Y","N",1641,"South",67086.02,"Year","Y",39,"0"
"Asia","Bachelor's","Y","N",2884,"Northeast",114790.58,"Year","Y",16,"0"
"South America","Master's","Y","N",636,"South",1857.39,"Year","Y",47,"0"
"Africa","Bachelor's","Y","N",255,"Northeast",122859.37,"Year","Y",20,"0"
"Asia","Bachelor's","Y","N",2311,"West",86901.23,"Year","N",19,"0"
"North America","Master's","N","N",781,"Midwest",78096.9,"Year","N",41,"0"
"Asia","Master's","Y","N",3057,"South",22784.52,"Year","Y",29,"0"
"Asia","Master's","Y","N",4670,"West",62656.12,"Year","Y",21,"0"
"Asia","Bachelor's","Y","N",3277,"Midwest",124439.76,"Year","Y",44,"0"
"North America","Bachelor's","Y","N",2114,"Northeast",72354.96,"Year","Y",59,"0"
"Asia","Doctorate","N","Y",2148,"South",43147.38,"Year","Y",38,"0"
"Europe","Bachelor's","N","N",3542,"Northeast",248.6583,"Hour","Y",61,"0"
"Asia","Master's","Y","N",112102,"South",235339.91,"Year","Y",172,"0"
"Asia","Bachelor's","Y","N",412,"South",41696.75,"Year","Y",30,"0"
"North America","Master's","N","N",60,"South",92071,"Year","N",76,"0"
"Asia","Master's","N","N",922,"South",46080.75,"Year","Y",26,"0"
"Asia","Bachelor's","Y","N",4258,"West",40926.81,"Year","Y",16,"0"
"Asia","Bachelor's","Y","N",3433,"West",36979.16,"Year","Y",22,"0"
"Europe","Doctorate","Y","N",772,"South",71977.54,"Year","Y",17,"0"
"Asia","Doctorate","N","N",1006,"South",23389.53,"Year","Y",15,"0"
"North America","Doctorate","Y","N",467,"South",43697.94,"Year","Y",65,"0"
"Europe","Bachelor's","Y","N",81849,"South",81724.72,"Year","Y",97,"0"
"North America","Master's","Y","N",4132,"South",67959.42,"Year","Y",21,"0"
"Asia","Master's","Y","N",3176,"West",132453.43,"Year","Y",21,"0"
"Asia","Master's","N","N",3267,"South",161738.67,"Year","Y",21,"0"
"North America","Master's","N","N",4762,"Midwest",75960.46,"Year","Y",19,"0"
"Asia","Bachelor's","Y","N",2089,"South",232680.65,"Year","Y",17,"0"
"South America","High School","Y","N",16587,"West",102169.61,"Year","Y",30,"0"
"North America","Master's","Y","N",36353,"Northeast",125925.71,"Year","N",26,"0"
"North America","Bachelor's","Y","N",3514,"Midwest",24197.92,"Year","Y",14,"0"
"Asia","Bachelor's","N","N",1110,"South",97931.99,"Month","Y",61,"0"
"Asia","Master's","Y","N",1245,"Midwest",92549.52,"Year","N",12,"0"
"Europe","Bachelor's","N","Y",2557,"West",138190.15,"Year","Y",29,"0"
"Europe","Master's","N","N",1369,"South",43881.65,"Year","N",14,"0"
"North America","Bachelor's","Y","N",211,"Northeast",23945.38,"Year","Y",21,"0"
"Asia","Bachelor's","Y","N",1446,"South",19311.82,"Year","Y",17,"0"
"Asia","High School","Y","Y",936,"South",144869.09,"Year","Y",169,"0"
"Asia","Master's","Y","N",2020,"South",795.4405,"Hour","Y",24,"0"
"Asia","Bachelor's","Y","N",605,"South",66972.41,"Year","Y",30,"0"
"Asia","Bachelor's","Y","Y",2288,"South",256261.78,"Year","Y",49,"0"
"Asia","Master's","Y","N",288,"South",85004.99,"Year","Y",27,"0"
"Asia","Master's","Y","N",358352,"South",98124.95,"Year","Y",18,"0"
"Asia","Master's","Y","N",4118,"West",19838.51,"Year","Y",27,"0"
"Asia","Bachelor's","Y","N",3272,"Midwest",95018.17,"Year","Y",102,"0"
"Asia","Master's","Y","Y",1178,"Midwest",162988.12,"Year","Y",37,"0"
"Asia","Master's","Y","N",1648,"Northeast",59136.13,"Year","Y",84,"0"
"Asia","Bachelor's","Y","N",2286,"West",105987.07,"Year","Y",146,"0"
"Asia","Master's","Y","N",3238,"Northeast",73896.5,"Year","Y",28,"0"
"Africa","Master's","Y","N",4506,"West",82793.8,"Month","Y",75,"0"
"Europe","Master's","Y","N",1826,"Northeast",30531.03,"Year","Y",56,"0"
"Asia","Bachelor's","Y","N",4824,"West",49122.07,"Year","Y",28,"0"
"Asia","Master's","N","N",364,"Midwest",126935.9,"Year","N",14,"0"
"Asia","Bachelor's","Y","N",8374,"Northeast",206970.67,"Year","N",160,"0"
"South America","Master's","Y","Y",3198,"Northeast",53077.88,"Year","Y",13,"0"
"Asia","Doctorate","N","N",2956,"South",262189,"Year","N",21,"0"
"North America","Master's","Y","N",1746,"West",119767.22,"Year","N",40,"0"
"Asia","Master's","Y","N",633,"West",53669.98,"Year","N",39,"0"
"Asia","Master's","Y","N",1538,"West",314.6393,"Hour","Y",62,"0"
"Asia","Master's","Y","N",3130,"South",11404.58,"Year","Y",15,"0"
"Europe","Doctorate","Y","N",2165,"West",27790.82,"Year","Y",11,"0"
"Asia","High School","Y","N",2641,"South",97466.91,"Year","Y",17,"0"
"Asia","Bachelor's","Y","N",2247,"Northeast",130563.12,"Year","Y",21,"0"
"Asia","High School","N","N",2122,"South",80604.66,"Year","N",19,"0"
"Asia","High School","Y","N",4040,"Midwest",60158.59,"Year","Y",30,"0"
"Asia","Master's","Y","N",2721,"Midwest",101026.39,"Year","Y",27,"0"
"North America","Master's","Y","N",645,"South",149452.3,"Year","Y",36,"0"
"Asia","Bachelor's","Y","N",1743,"West",110382.9,"Year","Y",26,"0"
"Asia","Master's","N","Y",4393,"South",62328.16,"Year","Y",14,"0"
"Asia","Bachelor's","Y","N",2188,"South",100524.28,"Year","Y",25,"0"
"North America","Bachelor's","Y","N",1105,"West",60561.95,"Year","Y",62,"0"
"Asia","High School","N","Y",940,"South",75815.39,"Year","Y",23,"0"
"Asia","Bachelor's","Y","N",304,"Midwest",21428.58,"Year","Y",24,"0"
"North America","Master's","N","N",1372,"Midwest",748.0707,"Hour","Y",13,"0"
"North America","Bachelor's","Y","N",908,"Island",29099.81,"Year","Y",27,"0"
"Asia","Master's","Y","N",2266,"Midwest",164341.96,"Year","Y",24,"0"
"South America","Master's","Y","N",26957,"Northeast",149649.91,"Year","Y",107,"0"
"Asia","Doctorate","Y","N",2467,"South",62487.14,"Year","Y",224,"0"
"Asia","Bachelor's","N","N",2845,"South",671.4491,"Hour","Y",20,"0"
"Asia","Bachelor's","Y","Y",643,"South",76138.64,"Year","Y",38,"0"
"Asia","Bachelor's","N","N",3712,"South",92324.91,"Year","Y",35,"0"
"Asia","Doctorate","Y","N",944,"Midwest",49684.23,"Year","Y",33,"0"
"Asia","Master's","Y","N",5474,"Northeast",47998.71,"Year","Y",163,"0"
"Asia","High School","Y","N",2652,"South",98429.38,"Year","Y",72,"0"
"Asia","Bachelor's","Y","N",3960,"West",35911.81,"Year","Y",56,"0"
"Asia","Master's","N","Y",604,"South",132029.1,"Year","Y",58,"0"
"Africa","Master's","N","Y",3256,"South",138622.73,"Year","Y",20,"0"
"Asia","Bachelor's","Y","N",3899,"West",105274.65,"Year","Y",35,"0"
"Europe","Master's","N","N",869,"West",77912.67,"Year","Y",14,"0"
"Europe","Bachelor's","Y","Y",2658,"South",86235.96,"Year","Y",16,"0"
"Asia","Master's","Y","Y",8780,"South",81640.69,"Year","Y",178,"0"
"Asia","Doctorate","N","N",88484,"South",53999.52,"Year","Y",23,"0"
"Asia","Master's","Y","N",1261,"Northeast",28023.68,"Year","Y",49,"0"
"Asia","Master's","Y","N",2158,"Northeast",30393.57,"Year","N",18,"0"
"Asia","Bachelor's","Y","N",1194,"South",105225.88,"Year","Y",26,"0"
"Europe","Bachelor's","Y","N",878,"Midwest",58800.76,"Year","Y",58,"0"
"Europe","Bachelor's","Y","N",213,"West",90643.93,"Year","Y",24,"0"
"Asia","Master's","Y","N",1712,"Northeast",84698.17,"Year","N",151,"0"
"Asia","Bachelor's","Y","N",53191,"Midwest",81523.82,"Year","N",47,"0"
"North America","Bachelor's","N","N",162,"South",74880.65,"Year","Y",30,"0"
"Asia","Master's","N","N",2953,"Midwest",110427.57,"Year","Y",24,"0"
"Asia","Bachelor's","Y","N",30650,"South",113374.51,"Year","Y",26,"0"
"Asia","Master's","Y","N",3510,"Midwest",134356,"Year","Y",19,"0"
"Africa","Bachelor's","N","N",3363,"South",21924.21,"Year","Y",41,"0"
"Asia","High School","Y","N",2377,"South",48191.18,"Year","Y",18,"0"
"Asia","Bachelor's","Y","Y",2016,"West",125014.69,"Year","Y",186,"0"
"North America","Bachelor's","N","N",756,"South",146020.74,"Year","N",36,"0"
"Europe","High School","Y","Y",964,"South",111289.39,"Year","Y",20,"0"
"Asia","Master's","Y","N",3647,"South",24055.39,"Year","Y",75,"0"
"North America","Bachelor's","Y","N",2477,"West",15506.4,"Week","Y",54,"0"
"Asia","Bachelor's","Y","N",2432,"Northeast",10837.15,"Year","Y",135,"0"
"Africa","Doctorate","Y","N",2563,"Northeast",52672.96,"Year","Y",38,"0"
"Asia","Bachelor's","N","N",1370,"South",72230.65,"Year","Y",24,"0"
"Europe","Bachelor's","N","N",2440,"West",30409.94,"Year","Y",30,"0"
"Asia","Master's","Y","N",2950,"South",849.455,"Hour","Y",15,"0"
"Asia","Bachelor's","Y","N",5660,"Northeast",64938.71,"Year","Y",24,"0"
"Asia","Bachelor's","Y","N",992,"West",218554.78,"Year","Y",32,"0"
"Asia","Bachelor's","N","N",1574,"South",3080.38,"Year","Y",12,"0"
"Asia","Master's","N","N",3188,"South",256205.38,"Year","N",12,"0"
"Asia","Bachelor's","Y","N",3041,"South",116867.59,"Year","Y",20,"0"
"Asia","Bachelor's","N","N",987,"Midwest",98467.88,"Year","Y",56,"0"
"Europe","Doctorate","Y","N",3206,"West",20185.76,"Year","Y",11,"0"
"Asia","Bachelor's","Y","N",413,"West",140154.91,"Year","Y",11,"0"
"Europe","High School","Y","Y",3638,"Midwest",142176.75,"Year","Y",50,"0"
"Europe","Bachelor's","N","N",1970,"Northeast",104895.32,"Year","Y",20,"0"
"Asia","Bachelor's","N","N",1369,"Midwest",31857.88,"Year","Y",21,"0"
"Asia","Master's","N","N",582,"South",92051.71,"Year","Y",53,"0"
"North America","Bachelor's","Y","N",2850,"South",101086.77,"Year","Y",33,"0"
